img_name,lat,lng,place_id,osm_type,osm_id,osm_key,osm_value,type,accuracy,label,name,postcode,locality,district,city,county,state,country,country_code,housenumber,street
img_08377.jpg,52.88465118408203,-3.2372796535491943,255806101,way,55699202,highway,tertiary,street,0,"Llanarmon Pensarn Road, Ceiriog Ucha, Llanarmon Dyffryn Ceiriog, Wrexham, Cymru / Wales, LL20 7LG, United Kingdom",Llanarmon Pensarn Road,LL20 7LG,,Ceiriog Ucha,Llanarmon Dyffryn Ceiriog,Wrexham,Cymru / Wales,United Kingdom,gb,,
img_08378.jpg,8.229634284973145,0.5274927020072937,35912505,way,634516577,highway,trunk,street,0,"N2, Nkwanta, Nkwanta South District, Oti Region, Ghana",N2,,,,Nkwanta,Nkwanta South District,Oti Region,Ghana,gh,,
img_08379.jpg,38.8623046875,-76.921142578125,321060186,way,137930328,highway,trunk,street,0,"Pennsylvania Avenue, Bradbury Heights, Coral Hills, Prince George's County, Maryland, 20233, United States",Pennsylvania Avenue,20233,Bradbury Heights,,Coral Hills,Prince George's County,Maryland,United States,us,,
img_08380.jpg,57.0433349609375,53.94704818725586,185054373,way,274260807,highway,residential,street,0,"улица Металлургов, городской округ Воткинск, Удмуртия, Приволжский федеральный округ, 427430, Россия",улица Металлургов,427430,,,городской округ Воткинск,,Удмуртия,Россия,ru,,
img_08381.jpg,37.54094696044922,127.12248992919922,205138893,way,381215986,highway,residential,street,0,"올림픽로71길, 천호동, 천호2동, 강동구, 서울특별시, 05247, 대한민국",올림픽로71길,05247,천호동,천호2동,서울특별시,,,대한민국,kr,,
img_08382.jpg,42.16609954833984,-72.49252319335938,331025347,way,42786580,highway,motorway,street,0,"Massachusetts Turnpike, Cadys Corners, Ludlow, Hampden County, Massachusetts, 01151, United States",Massachusetts Turnpike,01151,,Cadys Corners,Ludlow,Hampden County,Massachusetts,United States,us,,
img_08383.jpg,-33.77017593383789,151.05596923828125,19498689,node,5885777485,place,house,house,0,"2, Montgomery Road, Carlingford, Sydney, City of Parramatta Council, New South Wales, 2118, Australia",,2118,,Carlingford,Sydney,,New South Wales,Australia,au,2,Montgomery Road
img_08384.jpg,50.95066833496094,11.911270141601562,124707643,way,205209927,building,yes,house,0,"Schössersmühle, 1, Mühltal, Eisenberg, Saale-Holzland-Kreis, Thüringen, 07607, Deutschland",Schössersmühle,07607,,,Eisenberg,Saale-Holzland-Kreis,Thüringen,Deutschland,de,1,Mühltal
img_08385.jpg,-29.73331451416016,27.502901077270508,30563619,way,563436113,highway,secondary,street,0,"B25, Takakatsa, Mafeteng District, Lesotho",B25,,,,Takakatsa,Mafeteng District,,Lesotho,ls,,
img_08386.jpg,37.24349594116211,-8.090439796447754,274565063,way,111628475,highway,residential,street,0,"Rua de Pena, Pena, Salir, Loulé, Faro, 8100-351, Portugal",Rua de Pena,8100-351,Pena,Pena,Loulé,Faro,,Portugal,pt,,
img_08387.jpg,38.28036880493164,140.87918090820312,243465241,way,107938936,highway,unclassified,street,0,"台の原街道線, 台原六丁目, 青葉区, 仙台市, 宮城県, 980-0005, 日本",台の原街道線,980-0005,台原六丁目,青葉区,仙台市,,宮城県,日本,jp,,
img_08388.jpg,45.34627151489258,-74.13961029052734,50715769,way,92551113,place,house,house,0,"1060, Chemin Saint-Dominique, Les Cèdres, Vaudreuil-Soulanges, Montérégie, Québec, J7T 1P5, Canada",,J7T 1P5,,,Les Cèdres,Vaudreuil-Soulanges,Québec,Canada,ca,1060,Chemin Saint-Dominique
